Household City,Household County,Household FIPS,Household ST,Household Zip,Agency Name,Agency Address,Agency City,Agency County,Agency ST,Agency Zip
Bloomington,McLean,17113.0,IL,61704,Temba Food Pantry,14940 Old Colonial Rd ,Bloomington,MCLEAN,IL,61705
Bloomington,McLean,17113.0,IL,61704,Temba Food Pantry,14940 Old Colonial Rd ,Bloomington,MCLEAN,IL,61705
Bloomington,McLean,17113.0,IL,61704,Temba Food Pantry,14940 Old Colonial Rd ,Bloomington,MCLEAN,IL,61705
,DOUGLAS,17041.0,IL,61913,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Atwood,Piatt,17147.0,IL,61913,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Atwood,Piatt,17147.0,IL,61913,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Atwood,Piatt,17147.0,IL,61913,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Milford,Iroquois,17075.0,IL,60953,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Milford,Iroquois,17075.0,IL,60953,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Normal,McLean,17113.0,IL,61761,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Normal,McLean,17113.0,IL,61761,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Normal,McLean,17113.0,IL,61761,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
Normal,McLean,17113.0,IL,61761,Eastview Christian Church Food Pantry,1500 Airport Rd ,Normal,MCLEAN,IL,61761
,Moultrie,,IL,61951,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,Moultrie,,IL,61951,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,Moultrie,,IL,61951,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Hoopeston,Vermilion,17183.0,IL,60942,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Hoopeston,Vermilion,17183.0,IL,60942,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Hoopeston,Vermilion,17183.0,IL,60942,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Hoopeston,Vermilion,17183.0,IL,60942,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Hoopeston,Vermilion,17183.0,IL,60942,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Watseka,Iroquois,17075.0,IL,60970,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Watseka,Iroquois,17075.0,IL,60970,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Watseka,Iroquois,17075.0,IL,60970,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Watseka,Iroquois,17075.0,IL,60970,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Watseka,Iroquois,17075.0,IL,60970,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Watseka,Iroquois,17075.0,IL,60970,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Watseka,Iroquois,17075.0,IL,60970,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Saint Joseph,Champaign,17019.0,IL,61873,Grace Lutheran Church,313 S Prospect Ave ,Champaign,CHAMPAIGN,IL,61821
Saint Joseph,Champaign,17019.0,IL,61873,Grace Lutheran Church,313 S Prospect Ave ,Champaign,CHAMPAIGN,IL,61821
Saint Joseph,Champaign,17019.0,IL,61873,Grace Lutheran Church,313 S Prospect Ave ,Champaign,CHAMPAIGN,IL,61821
Milford,Iroquois,17075.0,IL,60953,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Milford,Iroquois,17075.0,IL,60953,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Milford,Iroquois,17075.0,IL,60953,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Milford,Iroquois,17075.0,IL,60953,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Milford,Iroquois,17075.0,IL,60953,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Atwood,Douglas,17041.0,IL,61913,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Atwood,Douglas,17041.0,IL,61913,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Atwood,Douglas,17041.0,IL,61913,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Atwood,Douglas,17041.0,IL,61913,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Atwood,Douglas,17041.0,IL,61913,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Atwood,Douglas,17041.0,IL,61913,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Atwood,Douglas,17041.0,IL,61913,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Atwood,Douglas,17041.0,IL,61913,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Atwood,Douglas,17041.0,IL,61913,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Atwood,Douglas,17041.0,IL,61913,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Atwood,Douglas,17041.0,IL,61913,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Atwood,Douglas,17041.0,IL,61913,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Watseka,Iroquois,17075.0,IL,60970,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Watseka,Iroquois,17075.0,IL,60970,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
Watseka,Iroquois,17075.0,IL,60970,Mobile Trailer - Iroquois County South,No Fixed Address ,Watseka,IROQUOIS,IL,60970
,Douglas,17041.0,IL,61911,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,Douglas,17041.0,IL,61911,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,Douglas,17041.0,IL,61911,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
,Douglas,17041.0,IL,61911,Atwood Area Food Pantry,231 N Illinois ,Atwood,PIATT,IL,61913
Edelstein,Peoria,17143.0,IL,61526,Mobile Trailer - Peoria County,131 W Knoxville St ,Brimfield,PEORIA,IL,61517
Edelstein,Peoria,17143.0,IL,61526,Mobile Trailer - Peoria County,131 W Knoxville St ,Brimfield,PEORIA,IL,61517
Gilman,Iroquois,17075.0,IL,60938,Watseka Area Food Pantry,301 S 4th St ,Middleport Township,IROQUOIS,IL,60970
